dummy,dummy,crop,pastr
y1995,CAZ,55816.19541652022,0
y1995,CHA,124988.01803461812,0
y1995,EUR,252763.17684358032,0
y1995,IND,70705.84514576221,0
y1995,JPN,6268.857288194756,0
y1995,LAM,90761.69584441253,0
y1995,MEA,11584.478813756818,0
y1995,NEU,15164.232792372593,0
y1995,OAS,48269.950204682646,0
y1995,REF,99897.34166686154,0
y1995,SSA,33049.29180957446,0
y1995,USA,213757.8311055211,0
y2000,CAZ,59340.632263072956,0
y2000,CHA,138319.66592224193,0
y2000,EUR,290648.68549692363,0
y2000,IND,88735.6052694187,0
y2000,JPN,6990.245615846565,0
y2000,LAM,149813.4772066033,0
y2000,MEA,15158.007203372397,0
y2000,NEU,17277.623756487126,0
y2000,OAS,53696.36215690747,0
y2000,REF,122606.89051547492,0
y2000,SSA,42651.86161980639,0
y2000,USA,224184.03907619964,0
y2005,CAZ,63010.91201427383,0
y2005,CHA,145259.178847591,0
y2005,EUR,273979.9799677768,0
y2005,IND,109596.6904201626,0
y2005,JPN,6305.748842536689,0
y2005,LAM,174064.28134664803,0
y2005,MEA,22626.055244540185,0
y2005,NEU,16730.785457690454,0
y2005,OAS,67903.63535398437,0
y2005,REF,183659.6122281318,0
y2005,SSA,51601.35679896506,0
y2005,USA,263333.7800682758,0
y2010,CAZ,66827.87350171647,0
y2010,CHA,159892.08089890567,0
y2010,EUR,290638.167442844,0
y2010,IND,140909.08711527672,0
y2010,JPN,6641.311342264056,0
y2010,LAM,240522.2605766159,0
y2010,MEA,29100.502876877516,0
y2010,NEU,17834.96848730791,0
y2010,OAS,79455.57113588267,0
y2010,REF,216915.13861067465,0
y2010,SSA,64520.97728867957,0
y2010,USA,275301.4332808084,0
y2015,CAZ,57392.53172892897,0
y2015,CHA,137887.64133378825,0
y2015,EUR,254543.69740289252,0
y2015,IND,136560.25193761138,0
y2015,JPN,5438.2487386484,0
y2015,LAM,224907.02358779873,0
y2015,MEA,28892.22880805182,0
y2015,NEU,15774.229469665835,0
y2015,OAS,76078.98694578372,0
y2015,REF,206844.29214320958,0
y2015,SSA,61038.66761086685,0
y2015,USA,243010.98084248314,0
y2020,CAZ,44362.49299600031,0
y2020,CHA,106281.67913514674,0
y2020,EUR,209513.47554422508,0
y2020,IND,114192.18761739464,0
y2020,JPN,4116.01925987726,0
y2020,LAM,195634.81221037832,0
y2020,MEA,23757.155847521506,0
y2020,NEU,12918.25883245633,0
y2020,OAS,60216.056933233616,0
y2020,REF,149069.7612487243,0
y2020,SSA,48043.805960723636,0
y2020,USA,187743.80755152553,0
y2025,CAZ,28139.88881689056,0
y2025,CHA,67961.4244621073,0
y2025,EUR,130785.10606232312,0
y2025,IND,72698.17827828848,0
y2025,JPN,2610.346885921128,0
y2025,LAM,128790.80610530706,0
y2025,MEA,14947.97063690707,0
y2025,NEU,8061.226791349649,0
y2025,OAS,37253.99181677996,0
y2025,REF,85520.07961778635,0
y2025,SSA,29435.66328529898,0
y2025,USA,116505.82544364047,0
y2030,CAZ,13927.623667956575,0
y2030,CHA,34412.950405759424,0
y2030,EUR,70008.69074071535,0
y2030,IND,38725.20830581678,0
y2030,JPN,1376.7510560177661,0
