dummy,dummy,crop,pastr
y1995,CAZ,18202.814417769863,0
y1995,CHA,49381.35828063343,0
y1995,EUR,131019.54374040061,0
y1995,IND,21776.749985490096,0
y1995,JPN,2686.2226412638393,0
y1995,LAM,34579.739403578846,0
y1995,MEA,2525.4503409996005,0
y1995,NEU,4641.032401303291,0
y1995,OAS,13633.224255340127,0
y1995,REF,32158.27042758605,0
y1995,SSA,7899.668671328055,0
y1995,USA,88813.43260473259,0
y2000,CAZ,19064.564070203225,0
y2000,CHA,55166.34971363451,0
y2000,EUR,142171.29003834928,0
y2000,IND,24073.67989505094,0
y2000,JPN,3083.7630113824957,0
y2000,LAM,56393.51283152589,0
y2000,MEA,2790.70920611703,0
y2000,NEU,5527.098580637101,0
y2000,OAS,13211.187335804354,0
y2000,REF,19992.48266454561,0
y2000,SSA,9840.997109947153,0
y2000,USA,85871.86566521453,0
y2005,CAZ,14690.5635441079,0
y2005,CHA,44508.58648274358,0
y2005,EUR,110222.94331942071,0
y2005,IND,19421.11927455884,0
y2005,JPN,2588.523791327674,0
y2005,LAM,53541.379874455204,0
y2005,MEA,2170.0393195278502,0
y2005,NEU,4668.159388701704,0
y2005,OAS,9654.330351732162,0
y2005,REF,11485.5564795368,0
y2005,SSA,8925.918256652143,0
y2005,USA,60090.58136284664,0
y2010,CAZ,8805.539188057124,0
y2010,CHA,27827.596880643156,0
y2010,EUR,67711.7703334851,0
y2010,IND,12288.292522130414,0
y2010,JPN,1709.7368027560196,0
y2010,LAM,36577.05777882169,0
y2010,MEA,1317.5934827713659,0
y2010,NEU,3032.112137323329,0
y2010,OAS,5666.735967281634,0
y2010,REF,6247.6783913404215,0
y2010,SSA,6183.468077094625,0
y2010,USA,32386.991346310868,0
y2015,CAZ,4196.55964294474,0
y2015,CHA,13484.196665754214,0
y2015,EUR,35135.717764905516,0
y2015,IND,6358.935551742597,0
y2015,JPN,843.434550790512,0
y2015,LAM,19775.957928931137,0
y2015,MEA,677.844118384116,0
y2015,NEU,1639.7209448373578,0
y2015,OAS,2719.111997144339,0
y2015,REF,1428.1648779120055,0
y2015,SSA,3279.307665476429,0
y2015,USA,15554.189984456942,0
y2020,CAZ,2144.4208432630285,0
y2020,CHA,6824.245128072535,0
y2020,EUR,14451.828640567388,0
y2020,IND,2729.811280827066,0
y2020,JPN,422.8081510547886,0
y2020,LAM,9893.002930426275,0
y2020,MEA,306.37268643325933,0
y2020,NEU,675.9617299017825,0
y2020,OAS,1181.0965481958694,0
y2020,REF,702.7644330976622,0
y2020,SSA,1462.806359071549,0
y2020,USA,7194.84882769646,0
y2025,CAZ,393.22546815576095,0
y2025,CHA,1790.933852760731,0
y2025,EUR,4136.188931398626,0
y2025,IND,969.5134645947514,0
y2025,JPN,149.92496875589427,0
y2025,LAM,3691.6710183543714,0
y2025,MEA,73.75112804421467,0
y2025,NEU,281.84091806090686,0
y2025,OAS,247.66681534491462,0
y2025,REF,366.84560469090917,0
y2025,SSA,763.5940121467495,0
y2025,USA,0.0,0
y2030,CAZ,0.0,0
y2030,CHA,0.0,0
y2030,EUR,0.0,0
y2030,IND,0.0,0
y2030,JPN,0.0,0
y2030,LAM,0.0,0
y2030,MEA,0.0,0
y2030,NEU,0.0,0
y2030,OAS,0.0,0
y2030,REF,0.0,0
y2030,SSA,0.0,0
y2030,USA,0.0,0
y2035,CAZ,0.0,0
y2035,CHA,0.0,0
y2035,EUR,0.0,0
y2035,IND,0.0,0
y2035,JPN,0.0,0
y2035,LAM,0.0,0
y2035,MEA,0.0,0
y2035,NEU,0.0,0
y2035,OAS,0.0,0
y2035,REF,0.0,0
y2035,SSA,0.0,0
y2035,USA,0.0,0
y2040,CAZ,0.0,0
